depecheId;importance;occurences;maxOccurences;dateValidated;dateToday;interval;timelapse;ponderationImportance;ponderationOccurences;factor1;factor2;score2
8;0.1;9;7;2017-04-28;2017-04-29;+1;1;7;5;-0.58333333333333;-0.18472222222222;0.185
9;0.1;8;7;2017-04-21;2017-04-29;+8;8;7;5;0.052631578947368;0.080263157894737;0.08
10;0.2;8;4;2017-04-26;2017-04-29;+3;3;7;5;-0.28571428571429;-0.0023809523809523;0.002
11;0.4;5;4;2017-04-22;2017-04-29;+7;7;7;5;0.16666666666667;0.30277777777778;0.303
12;0.5;1;7;2017-04-15;2017-04-29;+14;14;7;5;0.56;0.525;0.525
13;0.5;;7;2017-04-15;2017-04-29;+14;1;7;5;0.16666666666667;0.36111111111111;0.361
14;0.1;6;7;2017-04-23;2017-04-29;+6;6;7;5;0.058823529411765;0.082843137254902;0.083
15;0.1;6;7;2017-04-25;2017-04-29;+4;4;7;5;-0.066666666666667;0.030555555555556;0.031
16;0.1;5;7;2017-04-24;2017-04-29;+5;5;7;5;0.0625;0.084375;0.084
depecheId;importance;occurences;maxOccurences;dateValidated;dateToday;interval;timelapse;ponderationImportance;ponderationOccurences;factor1;factor2;score2
8;0.1;9;7;2017-04-28;2017-04-29;+1;1;7;5;-0.58333333333333;-0.18472222222222;0.185
9;0.1;8;7;2017-04-21;2017-04-29;+8;8;7;5;0.052631578947368;0.080263157894737;0.08
10;0.2;8;4;2017-04-26;2017-04-29;+3;3;7;5;-0.28571428571429;-0.0023809523809523;0.002
11;0.4;5;4;2017-04-22;2017-04-29;+7;7;7;5;0.16666666666667;0.30277777777778;0.303
12;0.5;1;7;2017-04-15;2017-04-29;+14;14;7;5;0.56;0.525;0.525
13;0.5;;7;2017-04-15;2017-04-29;+14;1;7;5;0.16666666666667;0.36111111111111;0.361
14;0.1;6;7;2017-04-23;2017-04-29;+6;6;7;5;0.058823529411765;0.082843137254902;0.083
15;0.1;6;7;2017-04-25;2017-04-29;+4;4;7;5;-0.066666666666667;0.030555555555556;0.031
16;0.1;5;7;2017-04-24;2017-04-29;+5;5;7;5;0.0625;0.084375;0.084
depecheId;importance;occurences;maxOccurences;dateValidated;dateToday;interval;timelapse;ponderationImportance;ponderationOccurences;factor1;factor2;score2
8;0.1;9;7;2017-04-28;2017-04-29;+1;1;7;5;-0.58333333333333;-0.18472222222222;0.185
9;0.1;8;7;2017-04-21;2017-04-29;+8;8;7;5;0.052631578947368;0.080263157894737;0.08
10;0.2;8;4;2017-04-26;2017-04-29;+3;3;7;5;-0.28571428571429;-0.0023809523809523;0.002
11;0.4;5;4;2017-04-22;2017-04-29;+7;7;7;5;0.16666666666667;0.30277777777778;0.303
12;0.5;1;7;2017-04-15;2017-04-29;+14;14;7;5;0.56;0.525;0.525
13;0.5;;7;2017-04-15;2017-04-29;+14;1;7;5;0.16666666666667;0.36111111111111;0.361
14;0.1;6;7;2017-04-23;2017-04-29;+6;6;7;5;0.058823529411765;0.082843137254902;0.083
